qc_id,objectid,tipo,icon_url
"603","604",Barragem,./3.png
"604","605",Mundéu,./7.png
"605","606",Mundéu,./7.png
"606","607",Pilão,./28.png
"607","608",Residencia,./10.png
"608","609",Canoa,./31.png
"609","610",Caixa d´água,./20.png
"610","611",Residencia,./10.png
"611","612",Mundéu,./7.png
"612","613",Entulho,./37.png
"613","614",Mundéu,./7.png
"614","615",Residencia,./10.png
"615","616",Residencia,./10.png
"616","617",Caixa esculpida,./22.png
"617","618",Canoa,./31.png
"618","619",Galeria,./0.png
"619","620",Cemitério,./38.png
"620","621",Hospital,./39.png
"621","622",Galeria,./0.png
"622","623",Ponte,./40.png
"623","624",Residencia,./10.png
"624","625",Mundéu,./7.png
"625","626",Canal,./8.png
"626","627",Muro,./5.png
"627","628",Residencia,./10.png
"628","629",Residencia,./10.png
"629","630",Barragem,./3.png
"630","631",Residencia,./10.png
"631","632",Mundéu,./7.png
"632","633",Galeria,./0.png
"633","634",Mundéu,./7.png
"634","635",Engenho,./41.png
"635","636",Residencia,./10.png
"636","637",Barragem,./3.png
"637","638",Saramenha,./42.png
"638","639",Engenho,./41.png
"639","640",Residencia,./10.png
"640","641",Monjolo,./43.png
"641","642",Galeria,./0.png
"642","643",Cavidade,./44.png
"644","645",Cerâmica,./45.png
"645","646",Sarilho,./4.png
"646","647",Quilombo,./46.png
"649","650",Residencia,./10.png
"650","651",Residencia,./10.png
"651","652",Caixa esculpida,./22.png
"652","653",Caixa d´água,./20.png
"653","654",Entulho,./37.png
"654","655",Residencia,./10.png
"655","656",Rua,./47.png
"656","657",Galeria,./0.png
"657","658",Canal,./8.png
"658","659",Residencia,./10.png
"659","660",Caixa esculpida,./22.png
"660","661",Barragem,./3.png
"661","662",Muro,./5.png
"662","663",Sarilho,./4.png
"663","664",Brunidor,./24.png
"665","666",Galeria,./0.png
"666","667",Cruzeiro,./48.png
"667","668",Residencia,./10.png
"668","669",Fio de pedra,./49.png
"669","670",Residencia,./10.png
"670","671",Curral,./21.png
"671","672",Residencia,./10.png
"672","673",Represa,./50.png
"673","674",Pilão,./28.png
"674","675",Talho a céu aberto,./51.png
"675","676",Residencia,./10.png
"676","677",Residencia,./10.png
"677","678",Rua,./47.png
"678","679",Barragem,./3.png
"679","680",Residencia,./10.png
"680","681",Lavra a céu aberto,./52.png
"681","682",Residencia,./10.png
"682","683",Mundéu,./7.png
"683","684",Estrada,./9.png
"684","685",Residencia,./10.png
"685","686",Lavra a céu aberto,./52.png
"686","687",Residencia,./10.png
"687","688",Canal,./8.png
"688","689",Mundéu,./7.png
"689","690",Cavidade,./44.png
"690","691",Lavra a céu aberto,./52.png
"691","692",Horta,./39.png
"692","693",Lavra a céu aberto,./52.png
"693","694",Paiol,./34.png
"694","695",Lavra a céu aberto,./52.png
"695","696",Muro,./5.png
"696","697",Residencia,./10.png
"697","698",Residencia,./10.png
"698","699",Residencia,./10.png
"699","700",Lavra a céu aberto,./52.png
"700","701",Muro,./5.png
"701","702",Barragem,./3.png
"702","703",Barragem,./3.png
"703","704",Residencia,./10.png
"704","705",Lavra a céu aberto,./52.png
"705","706",Estrada,./9.png
"706","707",Lavra a céu aberto,./52.png
"707","708",Ruínas,./6.png
"708","709",Ruínas,./6.png
"709","710",Residencia,./10.png
"710","711",Residencia,./10.png
"711","712",Igreja,./12.png
"712","713",Barragem,./3.png
"713","714",Barragem,./3.png
"714","715",Mirante,./53.png
"715","716",Canal,./8.png
"716","717",Residencia,./10.png
"717","718",Canal,./8.png
"718","719",Cata,./54.png
"719","720",Residencia,./10.png
"720","721",Barragem,./3.png
"721","722",Muro,./5.png
"722","723",Ruínas,./6.png
